reading_id,station_id,recorded_at,temperature_c,humidity_pct
reading_000,south,2026-01-01 00:00:00,14.8,61.8
reading_001,north,2026-01-01 01:00:00,33.0,80.8
reading_002,north,2026-01-01 02:00:00,9.1,60.0
reading_003,south,2026-01-01 03:00:00,25.1,57.4
reading_004,north,2026-01-01 04:00:00,27.2,56.5
reading_005,central,2026-01-01 05:00:00,21.6,40.7
reading_006,central,2026-01-01 06:00:00,13.4,72.5
reading_007,central,2026-01-01 07:00:00,13.2,50.6
reading_008,south,2026-01-01 08:00:00,24.8,32.1
reading_009,south,2026-01-01 09:00:00,23.8,32.2
reading_010,north,2026-01-01 10:00:00,19.8,60.2
reading_011,north,2026-01-01 11:00:00,15.6,46.1
reading_012,central,2026-01-01 12:00:00,17.3,62.4
reading_013,,2026-01-01 13:00:00,14.6,64.9
reading_014,central,2026-01-01 14:00:00,25.3,61.9
reading_015,south,2026-01-01 15:00:00,21.2,54.1
reading_016,south,2026-01-01 16:00:00,25.7,70.5
reading_017,central,2026-01-01 17:00:00,,65.7
reading_018,north,2026-01-01 18:00:00,12.9,49.3
reading_019,central,2026-01-01 19:00:00,14.2,59.4
reading_020,north,2026-01-01 20:00:00,14.5,
reading_021,south,2026-01-01 21:00:00,11.6,74.9
reading_022,central,2026-01-01 22:00:00,14.3,46.1
reading_023,central,2026-01-01 23:00:00,28.8,59.1
reading_024,central,,14.3,86.9
reading_025,central,2026-01-02 01:00:00,12.9,78.6
reading_026,north,2026-01-02 02:00:00,5.8,51.1
reading_027,central,2026-01-02 03:00:00,14.8,68.7
reading_028,north,,16.6,70.0
reading_029,central,2026-01-02 05:00:00,22.7,72.9
reading_030,south,2026-01-02 06:00:00,20.1,63.6
reading_031,north,2026-01-02 07:00:00,18.5,59.3
reading_032,,2026-01-02 08:00:00,21.0,48.2
reading_033,central,2026-01-02 09:00:00,11.8,81.0
reading_034,central,2026-01-02 10:00:00,17.1,64.3
reading_035,south,2026-01-02 11:00:00,,46.9
reading_036,central,2026-01-02 12:00:00,15.6,44.4
reading_037,,2026-01-02 13:00:00,16.3,47.4
reading_038,north,2026-01-02 14:00:00,24.0,
reading_039,central,2026-01-02 15:00:00,11.1,
reading_040,south,2026-01-02 16:00:00,19.7,70.3
reading_041,south,2026-01-02 17:00:00,14.8,57.9
reading_042,south,2026-01-02 18:00:00,20.4,61.7
reading_043,central,2026-01-02 19:00:00,9.0,
reading_044,south,2026-01-02 20:00:00,,74.6
reading_045,north,2026-01-02 21:00:00,21.3,60.3
reading_046,north,2026-01-02 22:00:00,,
reading_047,south,2026-01-02 23:00:00,17.8,63.0
reading_048,south,2026-01-03 00:00:00,28.2,44.7
reading_049,south,2026-01-03 01:00:00,,63.4
reading_050,north,2026-01-03 02:00:00,,57.5
reading_051,north,2026-01-03 03:00:00,28.0,63.5
reading_052,central,2026-01-03 04:00:00,26.2,44.4
reading_053,south,2026-01-03 05:00:00,14.3,79.2
reading_054,north,2026-01-03 06:00:00,7.3,80.4
reading_055,south,2026-01-03 07:00:00,14.2,61.3
reading_056,,2026-01-03 08:00:00,,55.1
reading_057,north,2026-01-03 09:00:00,,72.0
reading_058,north,2026-01-03 10:00:00,10.7,57.1
reading_059,central,2026-01-03 11:00:00,29.8,42.1
reading_060,north,2026-01-03 12:00:00,24.8,71.9
reading_061,south,2026-01-03 13:00:00,19.6,74.5
reading_062,south,2026-01-03 14:00:00,,70.1
reading_063,north,2026-01-03 15:00:00,26.7,
reading_064,south,2026-01-03 16:00:00,,70.1
reading_065,north,2026-01-03 17:00:00,16.3,54.8
reading_066,south,2026-01-03 18:00:00,18.1,
reading_067,south,2026-01-03 19:00:00,15.4,71.7
reading_068,south,2026-01-03 20:00:00,18.0,
reading_069,south,,28.3,43.9
reading_070,north,2026-01-03 22:00:00,12.8,46.0
reading_071,south,2026-01-03 23:00:00,21.3,
reading_072,north,2026-01-04 00:00:00,12.5,61.1
reading_073,south,2026-01-04 01:00:00,9.5,65.0
reading_074,north,2026-01-04 02:00:00,16.8,56.6
reading_075,central,,18.8,
reading_076,north,2026-01-04 04:00:00,19.0,61.5
reading_077,south,2026-01-04 05:00:00,19.6,59.5
reading_078,central,2026-01-04 06:00:00,15.3,70.6
reading_079,south,2026-01-04 07:00:00,11.9,53.8
reading_080,central,2026-01-04 08:00:00,27.7,73.0
reading_081,south,2026-01-04 09:00:00,23.5,59.1
reading_082,north,2026-01-04 10:00:00,20.3,46.7
reading_083,south,2026-01-04 11:00:00,18.3,
reading_084,central,2026-01-04 12:00:00,19.5,64.5
reading_085,central,2026-01-04 13:00:00,22.5,61.7
reading_086,central,2026-01-04 14:00:00,,
reading_087,north,2026-01-04 15:00:00,12.6,42.2
reading_088,south,2026-01-04 16:00:00,25.1,77.3
reading_089,north,2026-01-04 17:00:00,10.3,77.8
reading_090,central,2026-01-04 18:00:00,21.5,71.2
reading_091,central,2026-01-04 19:00:00,24.2,78.3
reading_092,central,2026-01-04 20:00:00,16.3,70.1
reading_093,central,2026-01-04 21:00:00,9.3,40.7
reading_094,north,2026-01-04 22:00:00,20.2,77.2
reading_095,north,2026-01-04 23:00:00,18.3,59.2
reading_096,south,2026-01-05 00:00:00,19.9,65.8
reading_097,north,2026-01-05 01:00:00,,49.0
reading_098,south,2026-01-05 02:00:00,29.3,
reading_099,north,2026-01-05 03:00:00,18.4,
reading_100,south,2026-01-05 04:00:00,8.0,91.1
reading_101,,2026-01-05 05:00:00,28.7,
reading_102,central,2026-01-05 06:00:00,26.0,48.5
reading_103,south,2026-01-05 07:00:00,17.1,60.4
reading_104,central,2026-01-05 08:00:00,19.0,50.0
reading_105,south,2026-01-05 09:00:00,15.3,72.6
reading_106,central,2026-01-05 10:00:00,13.5,56.2
reading_107,central,2026-01-05 11:00:00,7.1,87.1
reading_108,north,2026-01-05 12:00:00,14.2,68.1
reading_109,central,2026-01-05 13:00:00,15.1,74.8
reading_110,south,2026-01-05 14:00:00,18.8,57.4
reading_111,central,2026-01-05 15:00:00,,
reading_112,central,2026-01-05 16:00:00,19.2,
reading_113,central,2026-01-05 17:00:00,14.4,42.5
reading_114,south,2026-01-05 18:00:00,17.8,80.2
reading_115,south,2026-01-05 19:00:00,13.3,76.5
reading_116,south,2026-01-05 20:00:00,24.5,67.5
reading_117,central,2026-01-05 21:00:00,25.8,82.6
reading_118,south,2026-01-05 22:00:00,17.6,67.5
reading_119,north,2026-01-05 23:00:00,13.0,38.6
