reading_id,station_id,recorded_at,temperature_c
reading_000,south,2026-02-01 00:00:00,15.1
reading_001,north,2026-02-01 01:00:00,31.6
reading_002,north,2026-02-01 02:00:00,9.9
reading_003,south,2026-02-01 03:00:00,24.4
reading_004,north,2026-02-01 04:00:00,26.4
reading_005,central,2026-02-01 05:00:00,21.2
reading_006,central,2026-02-01 06:00:00,13.8
reading_006,central,2026-02-01 07:00:00,13.6
reading_008,south,2026-02-01 08:00:00,24.2
reading_009,south,2026-02-01 09:00:00,23.2
reading_010,north,2026-02-01 10:00:00,19.6
reading_011,north,2026-02-01 11:00:00,15.8
reading_012,central,2026-02-01 12:00:00,17.3
reading_013,north,2026-02-01 13:00:00,14.9
reading_014,central,2026-02-01 14:00:00,sensor_error
reading_015,south,2026-02-01 15:00:00,20.9
reading_016,south,2026-02-01 16:00:00,25.0
reading_017,central,2026-02-01 17:00:00,16.6
reading_018,north,2026-02-01 18:00:00,13.3
reading_019,central,2026-02-01 19:00:00,14.5
reading_020,north,2026-02-01 20:00:00,-62.0
reading_021,south,2026-02-01 21:00:00,12.2
reading_022,central,2026-02-01 22:00:00,14.6
reading_023,central,2026-02-01 23:00:00,27.8
reading_024,central,2026-02-02 00:00:00,14.6
reading_025,central,2026-02-02 01:00:00,13.3
reading_026,north,2026-02-02 02:00:00,6.9
reading_027,central,2026-02-02 03:00:00,15.0
reading_028,north,2026-02-02 04:00:00,16.7
reading_029,central,2026-02-02 05:00:00,22.3
reading_030,south,2026-02-02 06:00:00,19.9
reading_031,north,2026-02-02 07:00:00,18.5
reading_032,south,2026-02-02 08:00:00,20.7
reading_033,central,2026-02-02 09:00:00,12.3
reading_034,central,2026-02-02 10:00:00,17.2
reading_035,south,2026-02-02 11:00:00,16.4
reading_036,central,2026-02-02 12:00:00,15.9
reading_037,south,2026-02-02 13:00:00,16.4
reading_038,north,2026-02-02 14:00:00,23.4
reading_039,central,2026-02-02 15:00:00,11.7
reading_040,south,2026-02-02 16:00:00,19.5
reading_041,south,2026-02-02 17:00:00,15.1
reading_042,south,2026-02-02 18:00:00,20.2
reading_043,central,2026-02-02 19:00:00,9.8
reading_044,south,2026-02-02 20:00:00,13.2
reading_045,north,2026-02-02 21:00:00,21.0
reading_046,north,2026-02-02 22:00:00,17.2
reading_047,south,2026-02-02 23:00:00,17.9
reading_048,south,2026-02-03 00:00:00,27.3
reading_048,south,2026-02-03 01:00:00,29.1
reading_050,north,2026-02-03 02:00:00,9.3
reading_051,north,2026-02-03 03:00:00,27.1
reading_052,central,2026-02-03 04:00:00,25.4
reading_053,south,2026-02-03 05:00:00,14.7
reading_054,north,2026-02-03 06:00:00,8.2
reading_055,south,2026-02-03 07:00:00,14.5
reading_056,north,2026-02-03 08:00:00,18.6
reading_057,north,2026-02-03 09:00:00,11.8
reading_058,north,2026-02-03 10:00:00,11.4
reading_059,central,2026-02-03 11:00:00,28.7
reading_060,north,2026-02-03 12:00:00,24.2
reading_061,south,2026-02-03 13:00:00,19.4
reading_062,south,2026-02-03 14:00:00,17.1
reading_063,north,2026-02-03 15:00:00,25.9
reading_064,south,2026-02-03 16:00:00,19.4
reading_065,north,2026-02-03 17:00:00,16.4
reading_066,south,2026-02-03 18:00:00,18.1
reading_067,south,2026-02-03 19:00:00,offline
reading_068,south,2026-02-03 20:00:00,18.0
reading_069,south,2026-02-03 21:00:00,27.3
reading_070,north,2026-02-03 22:00:00,13.3
reading_071,south,2026-02-03 23:00:00,21.0
reading_072,north,2026-02-04 00:00:00,13.0
reading_073,south,2026-02-04 01:00:00,10.3
reading_074,north,2026-02-04 02:00:00,16.9
reading_075,central,2026-02-04 03:00:00,18.7
reading_076,north,2026-02-04 04:00:00,18.9
reading_077,south,2026-02-04 05:00:00,19.4
reading_078,central,2026-02-04 06:00:00,15.5
reading_079,south,2026-02-04 07:00:00,12.4
