memory_id,text,timestamp,type,importance
hist_0000,The user likes walking meetings.,2026-04-01 13:00,preference,0.68
hist_0001,The user prefers morning sessions for il progetto TensorFlow.,2026-04-01 17:00,preference,0.43
hist_0002,Lucia visited Bologna for the weekend.,2026-04-01 19:00,episodic,0.81
hist_0003,Marco met a friend in Milano.,2026-04-02 03:00,episodic,0.64
hist_0004,Elena visited Glasgow for the weekend.,2026-04-02 10:00,episodic,0.05
hist_0005,The user likes walking meetings.,2026-04-02 11:00,preference,0.53
hist_0006,The user dislikes late notifications.,2026-04-02 13:00,preference,0.21
hist_0007,Lucia met a friend in Milano.,2026-04-03 00:00,episodic,0.41
hist_0008,Elena met a friend in Torino.,2026-04-03 03:00,episodic,0.32
hist_0009,The office in Napoli closes at 18:00.,2026-04-03 05:00,semantic,0.39
hist_0010,The office in Torino closes at 18:00.,2026-04-03 09:00,semantic,0.72
hist_0011,Elena had a long call about il colloquio.,2026-04-03 16:00,episodic,0.79
hist_0012,Elena booked a train to Bologna.,2026-04-04 03:00,episodic,0.69
hist_0013,Lucia booked a train to Roma.,2026-04-04 05:00,episodic,0.38
hist_0014,Giorgio booked a train to Glasgow.,2026-04-04 09:00,episodic,0.61
hist_0015,Lucia met a friend in Glasgow.,2026-04-04 09:00,episodic,0.44
hist_0016,The user prefers morning sessions for il corso di cucina.,2026-04-04 12:00,preference,0.7
hist_0017,Sara visited Napoli for the weekend.,2026-04-04 23:00,episodic,0.63
hist_0018,Sara visited Bologna for the weekend.,2026-04-05 01:00,episodic,0.71
hist_0019,The user prefers short updates about il corso di cucina.,2026-04-05 08:00,preference,0.54
hist_0020,Elena booked a train to Napoli.,2026-04-05 21:00,episodic,0.54
hist_0021,The user prefers short updates about la palestra.,2026-04-06 09:00,preference,0.79
hist_0022,The user likes walking meetings.,2026-04-06 12:00,preference,0.3
hist_0023,The user likes walking meetings.,2026-04-06 17:00,preference,0.43
hist_0024,The user prefers short updates about il progetto TensorFlow.,2026-04-08 00:00,preference,0.39
hist_0025,The office in Milano closes at 18:00.,2026-04-08 16:00,semantic,0.22
hist_0026,la palestra happens every Tuesday.,2026-04-08 18:00,semantic,0.48
hist_0027,The user prefers morning sessions for la riunione settimanale.,2026-04-08 20:00,preference,0.8
hist_0028,The user dislikes late notifications.,2026-04-08 22:00,preference,0.98
hist_0029,Sara booked a train to Glasgow.,2026-04-09 15:00,episodic,0.45
hist_0030,The user likes walking meetings.,2026-04-09 19:00,preference,0.4
hist_0031,Sara met a friend in Bologna.,2026-04-09 21:00,episodic,0.54
hist_0032,The user likes walking meetings.,2026-04-10 12:00,preference,0.68
hist_0033,The office in Glasgow closes at 18:00.,2026-04-10 13:00,semantic,0.4
hist_0034,Lucia finished a milestone of la palestra.,2026-04-10 22:00,episodic,0.89
hist_0035,Paolo had a long call about il progetto TensorFlow.,2026-04-12 06:00,episodic,0.63
hist_0036,Paolo lives near Bologna.,2026-04-13 00:00,semantic,0.59
hist_0037,The user dislikes late notifications.,2026-04-13 01:00,preference,0.6
hist_0038,The user dislikes late notifications.,2026-04-13 12:00,preference,0.4
hist_0039,Lucia visited Napoli for the weekend.,2026-04-13 18:00,episodic,0.55
hist_0040,Paolo lives near Milano.,2026-04-13 22:00,semantic,
hist_0041,Giorgio booked a train to Glasgow.,2026-04-14 20:00,episodic,0.35
hist_0042,The user prefers morning sessions for la newsletter.,2026-04-15 01:00,preference,0.78
hist_0043,Paolo visited Milano for the weekend.,2026-04-15 02:00,episodic,0.02
hist_0044,The user prefers short updates about la newsletter.,2026-04-15 08:00,preference,0.75
hist_0045,Giorgio lives near Glasgow.,2026-04-15 17:00,semantic,0.65
hist_0046,Paolo visited Roma for the weekend.,2026-04-15 23:00,episodic,0.33
hist_0047,Elena lives near Napoli.,2026-04-16 09:00,semantic,0.67
hist_0048,The user likes walking meetings.,2026-04-16 11:00,preference,0.53
hist_0049,Lucia visited Milano for the weekend.,2026-04-17 01:00,episodic,0.39
hist_0050,The user dislikes late notifications.,2026-04-17 19:00,preference,0.47
hist_0051,The user prefers short updates about il progetto TensorFlow.,2026-04-18 00:00,preference,0.5
hist_0052,Marco visited Milano for the weekend.,2026-04-18 06:00,episodic,0.58
hist_0053,The user prefers morning sessions for la riunione settimanale.,2026-04-18 22:00,preference,0.43
hist_0054,la newsletter happens every Tuesday.,2026-04-19 01:00,semantic,0.56
hist_0055,Elena lives near Glasgow.,2026-04-20 00:00,semantic,0.43
hist_0056,The user dislikes late notifications.,2026-04-20 02:00,preference,0.6
hist_0057,Sara finished a milestone of la newsletter.,2026-04-20 04:00,episodic,0.59
hist_0058,The user prefers short updates about il colloquio.,2026-04-20 12:00,preference,0.67
hist_0059,Sara booked a train to Napoli.,2026-04-21 13:00,episodic,0.37
hist_0060,il progetto TensorFlow happens every Tuesday.,2026-04-21 17:00,semantic,0.31
hist_0061,Lucia finished a milestone of il colloquio.,2026-04-21 18:00,episodic,0.67
hist_0062,Lucia lives near Torino.,2026-04-21 20:00,semantic,0.59
hist_0063,The user dislikes late notifications.,2026-04-22 02:00,preference,0.8
hist_0064,Lucia had a long call about la palestra.,2026-04-22 12:00,episodic,0.49
hist_0065,The office in Glasgow closes at 18:00.,2026-04-22 17:00,semantic,0.56
hist_0066,The office in Torino closes at 18:00.,2026-04-22 20:00,semantic,0.67
hist_0067,Giorgio met a friend in Roma.,2026-04-22 20:00,episodic,0.58
hist_0068,The office in Torino closes at 18:00.,2026-04-24 00:00,semantic,0.64
hist_0069,The user likes walking meetings.,2026-04-24 05:00,preference,0.67
hist_0070,Elena works on la newsletter.,2026-04-24 07:00,semantic,0.6
hist_0071,Elena finished a milestone of la newsletter.,2026-04-24 08:00,episodic,0.77
hist_0072,Giorgio had a long call about la riunione settimanale.,2026-04-25 10:00,episodic,0.59
hist_0073,The office in Roma closes at 18:00.,2026-04-25 13:00,semantic,0.7
hist_0074,The user likes walking meetings.,2026-04-26 05:00,preference,0.64
hist_0075,The user prefers short updates about la riunione settimanale.,2026-04-26 18:00,preference,0.7
hist_0076,Giorgio finished a milestone of il progetto TensorFlow.,2026-04-26 22:00,episodic,0.87
hist_0077,Giorgio met a friend in Glasgow.,2026-04-27 00:00,,0.22
hist_0078,The user dislikes late notifications.,2026-04-27 07:00,preference,0.7
hist_0079,il progetto TensorFlow happens every Tuesday.,2026-04-27 11:00,semantic,0.85
hist_0080,Elena finished a milestone of il corso di cucina.,2026-04-27 14:00,episodic,0.26
hist_0081,Giorgio works on il progetto TensorFlow.,2026-04-27 16:00,semantic,0.41
hist_0082,The user prefers short updates about la riunione settimanale.,2026-04-28 02:00,preference,0.62
hist_0083,Elena booked a train to Milano.,2026-04-28 15:00,episodic,0.59
hist_0084,Sara had a long call about il colloquio.,2026-04-28 22:00,episodic,0.93
hist_0085,The user dislikes late notifications.,2026-04-29 06:00,preference,0.52
hist_0086,Giorgio visited Torino for the weekend.,2026-04-30 10:00,episodic,0.42
hist_0087,Sara met a friend in Torino.,2026-04-30 12:00,episodic,0.92
hist_0088,The user dislikes late notifications.,2026-04-30 12:00,preference,0.87
hist_0089,The user prefers short updates about il corso di cucina.,2026-05-01 06:00,preference,0.57
hist_0090,The user prefers morning sessions for la newsletter.,2026-05-01 14:00,preference,0.34
hist_0091,The user prefers short updates about il colloquio.,2026-05-01 18:00,preference,0.4
hist_0092,Paolo booked a train to Torino.,2026-05-02 12:00,episodic,0.54
hist_0093,The office in Milano closes at 18:00.,2026-05-02 12:00,semantic,0.68
hist_0094,Elena finished a milestone of la riunione settimanale.,2026-05-02 14:00,episodic,0.6
hist_0095,Giorgio had a long call about la riunione settimanale.,2026-05-02 18:00,episodic,0.67
hist_0096,Paolo visited Glasgow for the weekend.,2026-05-03 00:00,episodic,0.69
hist_0097,The user prefers short updates about la riunione settimanale.,2026-05-03 06:00,preference,0.52
hist_0098,The user prefers short updates about il colloquio.,2026-05-03 08:00,preference,0.54
hist_0099,Lucia booked a train to Napoli.,2026-05-03 08:00,episodic,0.81
hist_0100,Marco finished a milestone of il corso di cucina.,2026-05-03 18:00,episodic,0.54
hist_0101,Marco visited Napoli for the weekend.,2026-05-03 19:00,episodic,0.61
hist_0102,Marco booked a train to Glasgow.,2026-05-04 02:00,episodic,0.59
hist_0103,Marco finished a milestone of la newsletter.,2026-05-04 23:00,episodic,0.73
hist_0104,The user likes walking meetings.,2026-05-05 00:00,preference,0.39
hist_0105,il progetto TensorFlow happens every Tuesday.,2026-05-05 04:00,semantic,0.71
hist_0106,The user prefers short updates about la riunione settimanale.,2026-05-05 11:00,preference,0.79
hist_0107,Marco had a long call about il corso di cucina.,2026-05-05 15:00,episodic,0.43
hist_0108,la newsletter happens every Tuesday.,2026-05-05 17:00,semantic,0.17
hist_0109,Marco booked a train to Glasgow.,2026-05-05 18:00,episodic,0.98
hist_0110,Giorgio finished a milestone of la riunione settimanale.,2026-05-05 22:00,episodic,0.45
hist_0111,Paolo met a friend in Roma.,2026-05-06 05:00,episodic,0.26
hist_0112,Lucia had a long call about il corso di cucina.,2026-05-06 05:00,episodic,0.7
hist_0113,Elena booked a train to Roma.,2026-05-07 05:00,episodic,0.19
hist_0114,Giorgio had a long call about la palestra.,2026-05-07 15:00,episodic,0.5
hist_0115,Paolo had a long call about la palestra.,2026-05-07 16:00,episodic,0.63
hist_0116,Marco finished a milestone of la palestra.,2026-05-07 17:00,episodic,0.56
hist_0117,Sara booked a train to Torino.,2026-05-07 20:00,episodic,0.58
