memory_id,text,timestamp,type,importance
challenge_000,Synthetic memory number 0.,2026-01-01,preference,0.51
challenge_001,Synthetic memory number 1.,2026-01-02,episodic,
challenge_002,Synthetic memory number 2.,2026-01-03,episodic,0.513
challenge_003,Synthetic memory number 3.,2026-01-04,preference,0.224
challenge_004,Synthetic memory number 4.,2026-01-05,,0.696
challenge_005,Synthetic memory number 5.,,semantic,0.352
challenge_006,Synthetic memory number 6.,2026-01-07,semantic,0.608
challenge_007,Synthetic memory number 7.,2026-01-08,semantic,0.29
challenge_008,Synthetic memory number 8.,2026-01-09,preference,0.477
challenge_009,Synthetic memory number 9.,2026-01-10,preference,
challenge_010,Synthetic memory number 10.,2026-01-11,episodic,0.368
challenge_011,Synthetic memory number 11.,2026-01-12,episodic,0.237
challenge_012,Synthetic memory number 12.,2026-01-13,semantic,0.834
challenge_013,,2026-01-14,episodic,0.831
challenge_014,Synthetic memory number 14.,2026-01-15,semantic,0.584
challenge_015,Synthetic memory number 15.,2026-01-16,preference,0.575
challenge_016,Synthetic memory number 16.,,preference,0.414
challenge_017,Synthetic memory number 17.,2026-01-18,,0.503
challenge_018,Synthetic memory number 18.,2026-01-19,,
challenge_019,Synthetic memory number 19.,2026-01-20,semantic,0.466
challenge_020,Synthetic memory number 20.,2026-01-21,episodic,0.567
challenge_021,Synthetic memory number 21.,2026-01-22,preference,0.343
challenge_022,Synthetic memory number 22.,2026-01-23,,
challenge_023,Synthetic memory number 23.,2026-01-24,semantic,0.281
challenge_024,Synthetic memory number 24.,2026-01-25,semantic,0.228
challenge_025,Synthetic memory number 25.,2026-01-26,semantic,0.057
challenge_026,Synthetic memory number 26.,,episodic,0.533
challenge_027,Synthetic memory number 27.,2026-01-28,semantic,0.319
challenge_028,Synthetic memory number 28.,2026-01-29,episodic,
challenge_029,Synthetic memory number 29.,2026-01-30,,0.247
challenge_030,Synthetic memory number 30.,2026-01-31,preference,0.351
challenge_031,Synthetic memory number 31.,2026-02-01,episodic,0.406
challenge_032,Synthetic memory number 32.,2026-02-02,preference,
challenge_033,Synthetic memory number 33.,2026-02-03,semantic,0.381
challenge_034,Synthetic memory number 34.,2026-02-04,semantic,0.628
challenge_035,Synthetic memory number 35.,2026-02-05,preference,0.62
challenge_036,Synthetic memory number 36.,2026-02-06,semantic,0.757
challenge_037,,2026-02-07,preference,0.478
challenge_038,Synthetic memory number 38.,2026-02-08,episodic,0.557
challenge_039,Synthetic memory number 39.,2026-02-09,semantic,0.618
challenge_040,Synthetic memory number 40.,2026-02-10,preference,0.138
challenge_041,,2026-02-11,,0.263
challenge_042,Synthetic memory number 42.,2026-02-12,preference,0.256
challenge_043,Synthetic memory number 43.,2026-02-13,semantic,
challenge_044,Synthetic memory number 44.,2026-02-14,preference,0.663
challenge_045,Synthetic memory number 45.,2026-02-15,episodic,0.232
challenge_046,Synthetic memory number 46.,2026-02-16,episodic,0.396
challenge_047,Synthetic memory number 47.,2026-02-17,preference,0.529
challenge_048,Synthetic memory number 48.,2026-02-18,preference,0.189
challenge_049,Synthetic memory number 49.,2026-02-19,preference,
challenge_050,Synthetic memory number 50.,2026-02-20,episodic,0.429
challenge_051,Synthetic memory number 51.,2026-02-21,episodic,0.634
challenge_052,,2026-02-22,semantic,
challenge_053,Synthetic memory number 53.,2026-02-23,,0.408
challenge_054,Synthetic memory number 54.,2026-02-24,episodic,0.131
challenge_055,Synthetic memory number 55.,2026-02-25,preference,0.33
challenge_056,Synthetic memory number 56.,2026-02-26,episodic,
challenge_057,Synthetic memory number 57.,2026-02-27,episodic,0.29
challenge_058,Synthetic memory number 58.,2026-02-28,episodic,0.681
challenge_059,Synthetic memory number 59.,2026-03-01,semantic,0.081
challenge_060,Synthetic memory number 60.,2026-03-02,episodic,0.842
challenge_061,,2026-03-03,preference,0.215
challenge_062,Synthetic memory number 62.,2026-03-04,preference,0.126
challenge_063,Synthetic memory number 63.,2026-03-05,episodic,
challenge_064,Synthetic memory number 64.,2026-03-06,preference,0.241
challenge_065,Synthetic memory number 65.,2026-03-07,episodic,0.397
challenge_066,Synthetic memory number 66.,2026-03-08,preference,0.579
challenge_067,Synthetic memory number 67.,2026-03-09,preference,0.429
challenge_068,Synthetic memory number 68.,2026-03-10,preference,
challenge_069,Synthetic memory number 69.,2026-03-11,preference,0.508
challenge_070,Synthetic memory number 70.,2026-03-12,episodic,0.445
challenge_071,Synthetic memory number 71.,2026-03-13,preference,0.263
challenge_072,Synthetic memory number 72.,2026-03-14,episodic,0.511
challenge_073,Synthetic memory number 73.,2026-03-15,preference,0.451
challenge_074,Synthetic memory number 74.,2026-03-16,episodic,0.297
challenge_075,Synthetic memory number 75.,2026-03-17,semantic,0.2
challenge_076,Synthetic memory number 76.,2026-03-18,episodic,0.395
challenge_077,Synthetic memory number 77.,2026-03-19,preference,0.4
challenge_078,Synthetic memory number 78.,2026-03-20,semantic,0.397
challenge_079,Synthetic memory number 79.,2026-03-21,preference,0.158
challenge_080,Synthetic memory number 80.,2026-03-22,semantic,
challenge_081,Synthetic memory number 81.,2026-03-23,,0.399
challenge_082,Synthetic memory number 82.,2026-03-24,episodic,0.634
challenge_083,Synthetic memory number 83.,2026-03-25,preference,0.36
challenge_084,Synthetic memory number 84.,2026-03-26,semantic,
challenge_085,Synthetic memory number 85.,,,0.475
challenge_086,Synthetic memory number 86.,2026-03-28,semantic,0.46
challenge_087,Synthetic memory number 87.,2026-03-29,,
challenge_088,Synthetic memory number 88.,2026-03-30,preference,0.023
challenge_089,Synthetic memory number 89.,2026-03-31,episodic,0.424
challenge_090,Synthetic memory number 90.,2026-04-01,semantic,0.485
challenge_091,Synthetic memory number 91.,2026-04-02,semantic,0.582
challenge_092,Synthetic memory number 92.,2026-04-03,semantic,0.335
challenge_093,Synthetic memory number 93.,2026-04-04,semantic,0.372
challenge_094,Synthetic memory number 94.,2026-04-05,episodic,0.127
challenge_095,Synthetic memory number 95.,2026-04-06,episodic,0.165
challenge_096,Synthetic memory number 96.,2026-04-07,preference,0.35
challenge_097,Synthetic memory number 97.,2026-04-08,episodic,0.382
challenge_098,Synthetic memory number 98.,2026-04-09,preference,0.577
challenge_099,Synthetic memory number 99.,2026-04-10,episodic,0.599
challenge_100,Synthetic memory number 100.,2026-04-11,preference,0.573
challenge_101,Synthetic memory number 101.,2026-04-12,episodic,0.24
challenge_102,Synthetic memory number 102.,2026-04-13,semantic,0.332
challenge_103,Synthetic memory number 103.,2026-04-14,preference,0.527
challenge_104,Synthetic memory number 104.,2026-04-15,semantic,0.456
challenge_105,Synthetic memory number 105.,2026-04-16,preference,0.163
challenge_106,Synthetic memory number 106.,2026-04-17,semantic,
challenge_107,Synthetic memory number 107.,2026-04-18,semantic,0.513
challenge_108,Synthetic memory number 108.,2026-04-19,episodic,0.592
challenge_109,Synthetic memory number 109.,2026-04-20,,0.572
challenge_110,Synthetic memory number 110.,2026-04-21,preference,0.475
challenge_111,Synthetic memory number 111.,2026-04-22,,
challenge_112,Synthetic memory number 112.,2026-04-23,semantic,0.411
challenge_113,Synthetic memory number 113.,2026-04-24,semantic,0.471
challenge_114,Synthetic memory number 114.,2026-04-25,preference,0.219
challenge_115,Synthetic memory number 115.,2026-04-26,preference,0.191
challenge_116,Synthetic memory number 116.,2026-04-27,preference,0.431
challenge_117,Synthetic memory number 117.,2026-04-28,semantic,0.383
challenge_118,Synthetic memory number 118.,2026-04-29,preference,0.532
challenge_119,Synthetic memory number 119.,2026-04-30,,0.26
