memory_id,text,timestamp,type,importance
quality_000,The user mentioned family item 0.,2026-02-01,semantic,0.772
quality_001,The user mentioned travel item 1.,2026-02-02,semantic,0.602
quality_002,The user mentioned travel item 2.,2026-02-03,preference,0.519
quality_003,The user mentioned family item 3.,2026-02-04,semantic,0.834
quality_004,The user mentioned travel item 4.,2026-02-05,preference,0.601
quality_005,The user mentioned work item 5.,2026-02-06,semantic,0.493
quality_006,The user mentioned work item 6.,2026-02-07,semantic,0.553
quality_006,The user mentioned work item 7.,2026-02-08,semantic,0.464
quality_008,The user mentioned family item 8.,2026-02-09,episodic,0.551
quality_009,The user mentioned family item 9.,2026-02-10,episodic,0.886
quality_010,The user mentioned food item 10.,2026-02-11,episodic,0.381
quality_011,The user mentioned travel item 11.,2026-02-12,episodic,0.658
quality_012,The user mentioned work item 12.,2026-02-13,episodic,0.369
quality_013,The user mentioned travel item 13.,2026-02-14,semantic,0.273
quality_014,The user mentioned food item 14.,2026-02-15,preference,urgent
quality_015,The user mentioned family item 15.,2026-02-16,semantic,0.576
quality_016,The user mentioned family item 16.,2026-02-17,semantic,0.583
quality_017,The user mentioned work item 17.,2026-02-18,semantic,0.602
quality_018,The user mentioned travel item 18.,2026-02-19,preference,0.461
quality_019,The user mentioned food item 19.,2026-02-20,semantic,0.35
quality_020,The user mentioned travel item 20.,2026-02-21,semantic,-0.4
quality_021,The user mentioned family item 21.,2026-02-22,semantic,0.73
quality_022,The user mentioned work item 22.,2026-02-23,episodic,0.625
quality_023,The user mentioned food item 23.,2026-02-24,episodic,0.56
quality_024,The user mentioned food item 24.,2026-02-25,preference,0.599
quality_025,The user mentioned work item 25.,2026-02-26,preference,0.697
quality_026,The user mentioned travel item 26.,2026-02-27,preference,0.66
quality_027,The user mentioned work item 27.,2026-02-28,episodic,0.373
quality_028,The user mentioned food item 28.,2026-03-01,semantic,0.781
quality_029,The user mentioned work item 29.,2026-03-02,episodic,0.3
quality_030,The user mentioned work item 30.,2026-03-03,episodic,0.663
quality_031,The user mentioned travel item 31.,2026-03-04,preference,0.753
quality_032,The user mentioned family item 32.,2026-03-05,episodic,0.496
quality_033,The user mentioned food item 33.,2026-03-06,semantic,0.265
quality_034,The user mentioned work item 34.,2026-03-07,preference,0.621
quality_035,The user mentioned family item 35.,2026-03-08,episodic,0.561
quality_036,The user mentioned food item 36.,2026-03-09,semantic,0.612
quality_037,The user mentioned family item 37.,2026-03-10,preference,0.749
quality_038,The user mentioned travel item 38.,2026-03-11,semantic,0.921
quality_039,The user mentioned food item 39.,2026-03-12,preference,0.562
quality_040,The user mentioned work item 40.,2026-03-13,preference,0.222
quality_041,The user mentioned family item 41.,2026-03-14,preference,0.901
quality_042,The user mentioned family item 42.,2026-03-15,semantic,0.813
quality_043,The user mentioned food item 43.,2026-03-16,episodic,0.522
quality_044,The user mentioned work item 44.,2026-03-17,preference,0.582
quality_045,The user mentioned travel item 45.,2026-03-18,episodic,0.463
quality_046,The user mentioned travel item 46.,2026-03-19,episodic,0.403
quality_047,The user mentioned work item 47.,2026-03-20,episodic,0.193
quality_048,The user mentioned family item 48.,2026-03-21,semantic,0.427
quality_048,The user mentioned work item 49.,2026-03-22,episodic,0.455
quality_050,The user mentioned travel item 50.,2026-03-23,preference,0.576
